Sample,Sample,Composition,Composition,Composition,Composition,Composition,Composition,Process,Process,Sample,Sample
Sample,Formulation,A,B,C,D,E,F,PercentOpen,Pressure,Gap (mm),Diameter (mm)
1,136,0,0.25,0,0.25,0,0.5,80,80,7.82,8.55
2,136,0,0.25,0,0.25,0,0.5,80,80,7.96,8.56
3,136,0,0.25,0,0.25,0,0.5,80,80,7.88,8.51
1,137,0.36,0.2,0.02,0.08,0,0.34,80,80,7.86,8.03
2,137,0.36,0.2,0.02,0.08,0,0.34,80,80,7.86,7.85
3,137,0.36,0.2,0.02,0.08,0,0.34,80,80,7.93,7.94
4,137,0.36,0.2,0.02,0.08,0,0.34,80,80,7.88,7.98
1,138,0.21,0,0,0.33,0.01,0.45,85,80,7.82,8.26
2,138,0.21,0,0,0.33,0.01,0.45,85,80,7.87,8.43
3,138,0.21,0,0,0.33,0.01,0.45,85,80,7.9,8.1
4,138,0.21,0,0,0.33,0.01,0.45,85,80,7.85,8.45
1,139,0.25,0,0,0.31,0.01,0.43,85,80,7.8,7.91
2,139,0.25,0,0,0.31,0.01,0.43,85,80,7.89,8.33
3,139,0.25,0,0,0.31,0.01,0.43,85,80,7.83,8.4
4,139,0.25,0,0,0.31,0.01,0.43,85,80,7.8,8.11
1,140,0.19,0,0,0.32,0.01,0.48,85,80,7.77,8.53
2,140,0.19,0,0,0.32,0.01,0.48,85,80,7.77,8.59
3,140,0.19,0,0,0.32,0.01,0.48,85,80,7.75,8.14
4,140,0.19,0,0,0.32,0.01,0.48,85,80,7.77,8.35
1,141,0,0.63,0.1,0,0,0.27,85,80,7.87,8.38
2,141,0,0.63,0.1,0,0,0.27,85,80,7.84,8.27
3,141,0,0.63,0.1,0,0,0.27,85,80,7.84,8.21
4,141,0,0.63,0.1,0,0,0.27,85,80,7.9,8.55
1,142,0,0.66,0.09,0,0,0.25,80,80,7.87,8.45
2,142,0,0.66,0.09,0,0,0.25,80,80,8.03,8.28
3,142,0,0.66,0.09,0,0,0.25,80,80,7.86,8.1
4,142,0,0.66,0.09,0,0,0.25,80,80,7.85,8.55
1,143,0,0.33,0.11,0.01,0,0.55,75,80,7.85,8.27
2,143,0,0.33,0.11,0.01,0,0.55,75,80,7.85,8.42
3,143,0,0.33,0.11,0.01,0,0.55,75,80,7.84,8.17
4,143,0,0.33,0.11,0.01,0,0.55,75,80,7.81,8.47
1,144,0,0.68,0.09,0,0.01,0.22,70,80,7.83,8.23
2,144,0,0.68,0.09,0,0.01,0.22,70,80,7.82,7.94
3,144,0,0.68,0.09,0,0.01,0.22,70,80,7.81,8.25
4,144,0,0.68,0.09,0,0.01,0.22,70,80,7.85,8.07
1,145,0.35,0,0,0.01,0,0.64,85,80,7.81,7.87
2,145,0.35,0,0,0.01,0,0.64,85,80,7.79,7.78
3,145,0.35,0,0,0.01,0,0.64,85,80,7.75,7.77
1,146,0.01,0,0,0.36,0,0.63,85,80,7.85,8.05
2,146,0.01,0,0,0.36,0,0.63,70,80,7.88,8.15
3,146,0.01,0,0,0.36,0,0.63,70,80,7.88,8.27
4,146,0.01,0,0,0.36,0,0.63,70,80,7.83,8.02
1,147,0.48,0,0.01,0,0.12,0.39,80,80,7.71,7.69
2,147,0.48,0,0.01,0,0.12,0.39,80,80,7.71,7.7
3,147,0.48,0,0.01,0,0.12,0.39,80,80,7.69,8.61
4,147,0.48,0,0.01,0,0.12,0.39,80,80,7.71,7.58
1,148,0.39,0,0,0.02,0.01,0.58,85,80,7.78,7.95
2,148,0.39,0,0,0.02,0.01,0.58,85,80,7.83,7.8
3,148,0.39,0,0,0.02,0.01,0.58,85,80,7.78,7.9
1,149,0,1,0,0,0,0,65,80,7.8,8.125
2,149,0,1,0,0,0,0,65,80,7.74,8.93
3,149,0,1,0,0,0,0,65,80,7.77,8.43
4,149,0,1,0,0,0,0,65,80,7.76,8.65
1,150,0,1,0,0,0,0,65,80,7.89,8.75
2,150,0,1,0,0,0,0,65,80,7.93,8.35
3,150,0,1,0,0,0,0,65,80,7.88,8.56
4,150,0,1,0,0,0,0,65,80,7.86,8.97
1,151,0,1,0,0,0,0,65,80,7.73,8.95
2,151,0,1,0,0,0,0,65,80,7.78,8.48
3,151,0,1,0,0,0,0,65,80,7.74,8.95
4,151,0,1,0,0,0,0,65,80,7.86,8.38
1,152,0.4,0.17,0,0,0.12,0.31,90,80,8.92,7.7
2,152,0.4,0.17,0,0,0.12,0.31,90,80,8.92,7.68
3,152,0.4,0.17,0,0,0.12,0.31,90,80,9,7.75
4,152,0.4,0.17,0,0,0.12,0.31,90,80,9.06,7.73
1,153,0.44,0.27,0,0,0.17,0.12,90,80,7.84,7.6
2,153,0.44,0.27,0,0,0.17,0.12,90,80,7.87,7.6
3,153,0.44,0.27,0,0,0.17,0.12,90,80,7.97,7.8
4,153,0.44,0.27,0,0,0.17,0.12,90,80,7.98,7.73
1,154,0.34,0.14,0,0,0.13,0.39,90,80,8.2,7.84
2,154,0.34,0.14,0,0,0.13,0.39,90,80,8.27,7.8
1,155,0.33,0.12,0,0,0.13,0.42,90,80,8.39,7.92
2,155,0.33,0.12,0,0,0.13,0.42,90,80,8.27,7.75
3,155,0.33,0.12,0,0,0.13,0.42,90,80,8.45,7.85
4,155,0.33,0.12,0,0,0.13,0.42,90,80,8.41,8.1
1,156,0.39,0,0,0,0.22,0.39,90,80,7.75,7.67
2,156,0.39,0,0,0,0.22,0.39,90,80,7.77,7.76
3,156,0.39,0,0,0,0.22,0.39,90,80,7.81,7.71
4,156,0.39,0,0,0,0.22,0.39,90,80,7.77,7.69
1,157,0.39,0.31,0,0,0.22,0.08,90,80,7.79,7.52
2,157,0.39,0.31,0,0,0.22,0.08,90,80,7.87,7.75
3,157,0.39,0.31,0,0,0.22,0.08,90,80,7.83,7.74
4,157,0.39,0.31,0,0,0.22,0.08,90,80,7.8,7.59
1,158,0.41,0,0,0,0.25,0.34,90,80,7.74,7.6
2,158,0.41,0,0,0,0.25,0.34,90,80,7.84,7.65
3,158,0.41,0,0,0,0.25,0.34,90,80,7.73,7.68
4,158,0.41,0,0,0,0.25,0.34,90,80,7.73,7.63
1,159,0.35,0,0,0,0.2,0.45,90,80,7.81,7.63
2,159,0.35,0,0,0,0.2,0.45,90,80,7.81,7.7
3,159,0.35,0,0,0,0.2,0.45,90,80,7.81,7.73
4,159,0.35,0,0,0,0.2,0.45,90,80,7.79,7.58
1,160,0.33,0,0,0,0.21,0.46,90,80,7.84,7.68
2,160,0.33,0,0,0,0.21,0.46,90,80,7.83,7.66
3,160,0.33,0,0,0,0.21,0.46,90,80,7.87,7.72
4,160,0.33,0,0,0,0.21,0.46,90,80,7.87,7.66
1,161,0.31,0,0,0,0.2,0.49,90,80,7.96,7.9
2,161,0.31,0,0,0,0.2,0.49,90,80,7.97,7.85
3,161,0.31,0,0,0,0.2,0.49,90,80,7.96,7.73
1,162,0.35,0,0,0,0.21,0.44,90,80,7.81,7.75
2,162,0.35,0,0,0,0.21,0.44,90,80,7.82,8.02
3,162,0.35,0,0,0,0.21,0.44,90,80,7.79,7.83
1,163,0.2,0,0,0,0.01,0.79,85,80,7.97,8
2,163,0.2,0,0,0,0.01,0.79,85,80,7.87,8.12
3,163,0.2,0,0,0,0.01,0.79,85,80,7.9,8.05
4,163,0.2,0,0,0,0.01,0.79,85,80,7.88,8.07
1,164,0.5,0,0,0,0.3,0.2,90,80,7.76,7.57
2,164,0.5,0,0,0,0.3,0.2,90,80,7.73,7.6
3,164,0.5,0,0,0,0.3,0.2,90,80,7.73,7.57
4,164,0.5,0,0,0,0.3,0.2,90,80,7.77,7.6
1,165,0.53,0.06,0,0,0.32,0.09,90,80,7.66,7.65
2,165,0.53,0.06,0,0,0.32,0.09,90,80,7.69,7.73
3,165,0.53,0.06,0,0,0.32,0.09,90,80,7.68,7.65
1,166,0.53,0,0,0,0.33,0.14,90,80,7.67,7.83
2,166,0.53,0,0,0,0.33,0.14,90,80,7.7,7.87
3,166,0.53,0,0,0,0.33,0.14,90,80,7.66,7.75
1,167,0.42,0,0,0,0.27,0.31,90,80,7.62,7.84
2,167,0.42,0,0,0,0.27,0.31,90,80,7.62,7.99
3,167,0.42,0,0,0,0.27,0.31,90,80,7.58,7.95
1,168,0.42,0.01,0,0,0.14,0.43,90,80,7.81,7.63
2,168,0.42,0.01,0,0,0.14,0.43,90,80,7.8,7.62
3,168,0.42,0.01,0,0,0.14,0.43,90,80,7.8,7.7
4,168,0.42,0.01,0,0,0.14,0.43,90,80,7.86,7.7
1,169,0.39,0,0,0,0.13,0.48,90,80,7.97,7.7
2,169,0.39,0,0,0,0.13,0.48,90,80,7.87,7.65
3,169,0.39,0,0,0,0.13,0.48,90,80,7.91,7.7
4,169,0.39,0,0,0,0.13,0.48,90,80,8.1,7.71
1,170,0.44,0,0,0.05,0.13,0.38,90,80,7.77,7.64
2,170,0.44,0,0,0.05,0.13,0.38,90,80,7.84,7.7
3,170,0.44,0,0,0.05,0.13,0.38,90,80,7.77,7.56
4,170,0.44,0,0,0.05,0.13,0.38,90,80,7.8,7.7
1,171,0.28,0,0,0.11,0.08,0.53,90,80,7.88,8.06
2,171,0.28,0,0,0.11,0.08,0.53,90,80,7.9,8
3,171,0.28,0,0,0.11,0.08,0.53,90,80,7.91,8.15
4,171,0.28,0,0,0.11,0.08,0.53,90,80,8.01,7.96
1,172,0.42,0.12,0,0,0.06,0.4,90,80,7.56,7.75
2,172,0.42,0.12,0,0,0.06,0.4,90,80,7.56,7.75
3,172,0.42,0.12,0,0,0.06,0.4,90,80,7.63,7.65
4,172,0.42,0.12,0,0,0.06,0.4,90,80,7.57,7.7
1,173,0.42,0.11,0,0.01,0.07,0.39,90,80,7.84,7.85
2,173,0.42,0.11,0,0.01,0.07,0.39,90,80,7.8,7.78
3,173,0.42,0.11,0,0.01,0.07,0.39,90,80,7.77,7.66
4,173,0.42,0.11,0,0.01,0.07,0.39,90,80,7.8,7.86
1,174,0.42,0.11,0,0,0.04,0.43,90,80,7.77,7.7
2,174,0.42,0.11,0,0,0.04,0.43,90,80,7.79,7.7
3,174,0.42,0.11,0,0,0.04,0.43,90,80,7.85,7.7
1,175,0.45,0.08,0,0,0.05,0.42,90,80,7.63,7.88
2,175,0.45,0.08,0,0,0.05,0.42,90,80,7.64,7.66
3,175,0.45,0.08,0,0,0.05,0.42,90,80,7.62,7.74
4,175,0.45,0.08,0,0,0.05,0.42,90,80,7.59,7.72
1,176,0.41,0.14,0,0,0.07,0.38,90,80,7.89,8.12
2,176,0.41,0.14,0,0,0.07,0.38,90,80,7.92,7.96
3,176,0.41,0.14,0,0,0.07,0.38,90,80,7.87,8.05
4,176,0.41,0.14,0,0,0.07,0.38,90,80,7.86,7.92
1,177,0.41,0.12,0,0,0.06,0.41,90,80,7.9,7.8
2,177,0.41,0.12,0,0,0.06,0.41,90,80,7.87,7.72
3,177,0.41,0.12,0,0,0.06,0.41,90,80,7.92,7.85
4,177,0.41,0.12,0,0,0.06,0.41,90,80,7.86,7.71
1,178,0.42,0.16,0,0,0.07,0.35,90,80,7.8,8.03
2,178,0.42,0.16,0,0,0.07,0.35,90,80,7.8,8.16
3,178,0.42,0.16,0,0,0.07,0.35,90,80,7.8,8.1
4,178,0.42,0.16,0,0,0.07,0.35,90,80,7.92,8.1
1,179,0.4,0.13,0,0,0.08,0.39,90,80,7.83,7.83
2,179,0.4,0.13,0,0,0.08,0.39,90,80,7.84,7.8
3,179,0.4,0.13,0,0,0.08,0.39,90,80,7.83,7.87
1,180,0.25,0,0,0,0,0.75,85,80,7.89,8.2
2,180,0.25,0,0,0,0,0.75,85,80,7.78,8.27
1,181,0.27,0,0,0,0,0.73,85,80,7.83,7.97
2,181,0.27,0,0,0,0,0.73,85,80,7.87,8.03
3,181,0.27,0,0,0,0,0.73,85,80,7.57,8.1
4,181,0.27,0,0,0,0,0.73,85,80,7.88,8.03
1,182,0.23,0,0,0,0,0.77,85,80,7.91,8.15
2,182,0.23,0,0,0,0,0.77,85,80,7.89,8.1
1,183,0.24,0,0,0,0,0.76,85,80,7.89,7.92
2,183,0.24,0,0,0,0,0.76,85,80,7.91,7.85
3,183,0.24,0,0,0,0,0.76,85,80,7.91,7.77
1,184,0.32,0,0,0,0.09,0.59,85,80,7.81,8
2,184,0.32,0,0,0,0.09,0.59,85,80,7.81,8
1,185,0.27,0,0,0,0.14,0.59,85,80,7.8,8.05
2,185,0.27,0,0,0,0.14,0.59,85,80,7.78,8.05
1,186,0.3,0,0,0,0.09,0.61,85,80,7.89,8
2,186,0.3,0,0,0,0.09,0.61,85,80,7.86,8.02
3,186,0.3,0,0,0,0.09,0.61,85,80,7.8,8.01
1,187,0.32,0.01,0,0,0.09,0.58,85,80,7.85,7.9
2,187,0.32,0.01,0,0,0.09,0.58,85,80,7.78,7.97
3,187,0.32,0.01,0,0,0.09,0.58,85,80,7.8,8.12
1,188,0.37,0.37,0,0,0.19,0.07,90,80,7.38,7.57
2,188,0.37,0.37,0,0,0.19,0.07,90,80,7.37,7.75
3,188,0.37,0.37,0,0,0.19,0.07,90,80,7.37,7.75
1,189,0.38,0.41,0,0.01,0.19,0.01,90,80,7.42,7.7
2,189,0.38,0.41,0,0.01,0.19,0.01,90,80,7.42,7.7
3,189,0.38,0.41,0,0.01,0.19,0.01,90,80,7.4,7.7
4,189,0.38,0.41,0,0.01,0.19,0.01,90,80,7.46,7.68
1,191,0.34,0.36,0,0,0.2,0.1,90,80,7.5,7.71
2,191,0.34,0.36,0,0,0.2,0.1,90,80,7.43,7.55
3,191,0.34,0.36,0,0,0.2,0.1,90,80,7.41,7.61
4,191,0.34,0.36,0,0,0.2,0.1,90,80,7.42,7.55
1,192,0.39,0.23,0,0,0,0.38,85,80,7.78,7.97
2,192,0.39,0.23,0,0,0,0.38,85,80,7.75,7.755
3,192,0.39,0.23,0,0,0,0.38,85,80,7.74,7.88
1,193,0.37,0.22,0,0.01,0,0.4,85,80,7.83,8.12
2,193,0.37,0.22,0,0.01,0,0.4,85,80,7.76,8.015
3,193,0.37,0.22,0,0.01,0,0.4,85,80,7.77,8.03
1,194,0.41,0.21,0,0.01,0,0.37,85,80,7.86,8.135
2,194,0.41,0.21,0,0.01,0,0.37,85,80,7.84,8.035
3,194,0.41,0.21,0,0.01,0,0.37,85,80,7.83,8.065
1,195,0.32,0.19,0,0,0,0.49,85,80,7.87,8.12
2,195,0.32,0.19,0,0,0,0.49,85,80,7.85,8.06
3,195,0.32,0.19,0,0,0,0.49,85,80,7.88,7.945
1,196,0.15,0,0,0,0,0.85,80,80,8,8.055
2,196,0.15,0,0,0,0,0.85,80,80,7.87,7.96
3,196,0.15,0,0,0,0,0.85,80,80,7.95,7.93
1,197,0.11,0,0,0,0,0.89,80,80,8.03,7.75
2,197,0.11,0,0,0,0,0.89,80,80,7.84,7.76
3,197,0.11,0,0,0,0,0.89,80,80,7.96,7.795
4,197,0.11,0,0,0,0,0.89,80,80,7.94,7.765
1,198,0.18,0,0,0,0,0.82,80,80,7.97,7.9
2,198,0.18,0,0,0,0,0.82,80,80,8.02,7.885
3,198,0.18,0,0,0,0,0.82,80,80,8.21,7.92
1,199,0.13,0,0,0,0,0.87,80,80,8.05,7.83
2,199,0.13,0,0,0,0,0.87,80,80,8.06,7.765
3,199,0.13,0,0,0,0,0.87,80,80,8.07,7.81
1,200,0.15,0,0,0,0,0.85,0,0,7.79,8.33
2,200,0.15,0,0,0,0,0.85,0,0,7.79,8.315
3,200,0.15,0,0,0,0,0.85,0,0,7.93,8.45
4,200,0.15,0,0,0,0,0.85,0,0,7.79,8.42
1,201,0.11,0,0,0,0,0.89,0,0,7.83,8.33
2,201,0.11,0,0,0,0,0.89,0,0,7.78,8.42
3,201,0.11,0,0,0,0,0.89,0,0,7.83,8.305
1,202,0.18,0,0,0,0,0.82,0,0,7.88,8.165
2,202,0.18,0,0,0,0,0.82,0,0,7.89,8.2
3,202,0.18,0,0,0,0,0.82,0,0,7.86,8.13
4,202,0.18,0,0,0,0,0.82,0,0,7.9,8.235
1,203,0.23,0,0,0,0,0.77,0,0,7.9,7.865
2,203,0.23,0,0,0,0,0.77,0,0,7.87,7.6
3,203,0.23,0,0,0,0,0.77,0,0,7.85,7.76
4,203,0.23,0,0,0,0,0.77,0,0,7.94,7.64
1,204,0.41,0.14,0,0,0.07,0.38,0,0,7.82,7.82
2,204,0.41,0.14,0,0,0.07,0.38,0,0,7.81,7.925
3,204,0.41,0.14,0,0,0.07,0.38,0,0,7.81,7.94
1,205,0.42,0.16,0,0,0.07,0.35,0,0,7.8,7.82
2,205,0.42,0.16,0,0,0.07,0.35,0,0,7.97,7.79
3,205,0.42,0.16,0,0,0.07,0.35,0,0,7.87,7.75
4,205,0.42,0.16,0,0,0.07,0.35,0,0,7.8,7.82
1,206,0.53,0.06,0,0,0.32,0.09,0,0,7.81,7.61
2,206,0.53,0.06,0,0,0.32,0.09,0,0,7.79,7.73
3,206,0.53,0.06,0,0,0.32,0.09,0,0,7.8,7.73
4,206,0.53,0.06,0,0,0.32,0.09,0,0,7.8,7.7
1,207,0.53,0,0,0,0.33,0.14,0,0,7.78,7.66
2,207,0.53,0,0,0,0.33,0.14,0,0,7.76,7.75
3,207,0.53,0,0,0,0.33,0.14,0,0,7.81,7.64
1,208,0.42,0,0,0,0.27,0.31,0,0,7.78,7.71
2,208,0.42,0,0,0,0.27,0.31,0,0,7.82,7.745
3,208,0.42,0,0,0,0.27,0.31,0,0,7.81,7.68
4,208,0.42,0,0,0,0.27,0.31,0,0,7.74,7.67
1,209,0.01,0,0,0.36,0,0.63,0,0,7.8,8.22
2,209,0.01,0,0,0.36,0,0.63,0,0,7.78,8.07
3,209,0.01,0,0,0.36,0,0.63,0,0,7.8,8.29
4,209,0.01,0,0,0.36,0,0.63,0,0,7.76,8.09
1,210,0.44,0.27,0,0,0.17,0.12,0,0,7.82,7.84
2,210,0.44,0.27,0,0,0.17,0.12,0,0,7.78,7.74
3,210,0.44,0.27,0,0,0.17,0.12,0,0,7.76,7.75
1,211,0.34,0.14,0,0,0.13,0.39,0,0,7.8,7.73
2,211,0.34,0.14,0,0,0.13,0.39,0,0,7.76,7.92
3,211,0.34,0.14,0,0,0.13,0.39,0,0,7.76,7.92
4,211,0.34,0.14,0,0,0.13,0.39,0,0,7.74,7.775
1,212,0.33,0.12,0,0,0.13,0.42,0,0,7.8,7.98
2,212,0.33,0.12,0,0,0.13,0.42,0,0,7.8,7.84
3,212,0.33,0.12,0,0,0.13,0.42,0,0,7.72,7.75
4,212,0.33,0.12,0,0,0.13,0.42,0,0,7.76,7.85
1,215,0.03,0,0,0,0,0.97,,,7.82,8.07
2,215,0.03,0,0,0,0,0.97,,,7.82,7.965
3,215,0.03,0,0,0,0,0.97,,,7.8,7.98
1,216,0.05,0,0,0,0,0.95,,,7.76,7.71
2,216,0.05,0,0,0,0,0.95,,,7.72,7.85
1,217,0.07,0,0,0,0,0.93,,,7.72,8.1
2,217,0.07,0,0,0,0,0.93,,,7.8,8.21
3,217,0.07,0,0,0,0,0.93,,,7.8,8.18
4,217,0.07,0,0,0,0,0.93,,,7.74,8.1
1,218,0.09,0,0,0,0,0.91,,,7.74,8.01
2,218,0.09,0,0,0,0,0.91,,,7.74,8.045
3,218,0.09,0,0,0,0,0.91,,,7.74,7.99
4,218,0.09,0,0,0,0,0.91,,,7.78,7.95
1,219,0.13,0,0,0,0,0.87,,,7.82,8.03
2,219,0.13,0,0,0,0,0.87,,,7.8,8.01
3,219,0.13,0,0,0,0,0.87,,,7.78,7.99
1,220,0.15,0,0,0,0,0.85,,,7.82,7.93
2,220,0.15,0,0,0,0,0.85,,,7.85,7.835
3,220,0.15,0,0,0,0,0.85,,,7.88,7.735
1,221,0.17,0,0,0,0,0.83,,,7.56,7.89
2,221,0.17,0,0,0,0,0.83,,,7.44,8.02
3,221,0.17,0,0,0,0,0.83,,,7.46,7.99
4,221,0.17,0,0,0,0,0.83,,,7.34,7.91
1,222,0.19,0,0,0,0,0.81,,,7.95,7.685
2,222,0.19,0,0,0,0,0.81,,,8.12,7.74
3,222,0.19,0,0,0,0,0.81,,,8.06,7.66
1,223,0.22,0,0,0,0,0.78,,,7.6,8.28
2,223,0.22,0,0,0,0,0.78,,,7.62,8.2
3,223,0.22,0,0,0,0,0.78,,,7.56,8.28
4,223,0.22,0,0,0,0,0.78,,,7.64,8.28
1,224,0.26,0,0,0,0,0.74,,,8.26,7.66
2,224,0.26,0,0,0,0,0.74,,,8.31,7.71
3,224,0.26,0,0,0,0,0.74,,,8.24,7.64
