iterID,Formulation,A,B,C,D,E,F,Stress,Modulus,Toughness,ExpectedStress,ExpectedModulus,ExpectedToughness
1,25,0,0.18,0.21,0.28,0.2,0.13,454.753534,1.366241161,68112.81554,0,0,0
1,26,0,0.02,0.38,0.04,0.29,0.27,279.9044448,2.113304384,51731.06935,0,0,0
1,27,0.19,0.3,0.1,0.06,0.07,0.28,469.5247156,1.75777468,77876.90264,0,0,0
1,28,0.08,0.16,0.14,0.04,0.19,0.39,440.042566,1.963434667,76654.91176,0,0,0
1,29,0.34,0.06,0.23,0.16,0.19,0.02,365.6046573,1.230289,62118.02428,0,0,0
1,30,0.14,0.1,0.07,0.2,0.27,0.22,410.9856128,1.119048507,66049.65543,0,0,0
1,31,0.07,0.07,0.32,0.21,0.03,0.3,136.1656338,0.8962169245,22268.56385,0,0,0
1,32,0.02,0.01,0.27,0.13,0.49,0.08,369.0087557,1.314156953,61644.36425,0,0,0
1,33,0.09,0.32,0.03,0.13,0.37,0.06,533.9811318,0.8967628047,68784.76114,0,0,0
1,34,0.08,0.21,0.02,0,0.61,0.08,442.6767741,0.7256556327,59416.21312,0,0,0
1,35,0.09,0.32,0.04,0.21,0.17,0.17,507.4256797,0.9821739972,66650.96293,0,0,0
1,37,0.14,0.3,0.07,0.1,0.25,0.14,443.6007805,1.118357825,65323.09068,0,0,0
1,39,0.04,0.17,0.07,0.22,0.24,0.26,489.5898965,1.329443734,72483.99128,0,0,0
1,41,0.17,0.15,0.28,0.29,0,0.11,359.3333349,1.733497721,60280.14869,0,0,0
1,42,0.1,0.14,0.14,0.26,0.27,0.09,485.2461554,0.8864845677,66192.41082,0,0,0
1,43,1,0,0,0,0,0,228.9585406,0.728380335,49588.20845,0,0,0
1,44,0,1,0,0,0,0,435.6576179,1.174778293,60782.15271,0,0,0
1,46,0,0,0,1,0,0,368.0328025,0.037819494,29839.95805,0,0,0
1,47,0.6,0.4,0,0,0,0,558.3332502,1.014718372,72324.33046,0,0,0
1,48,0.55,0.45,0,0,0,0,545.1106536,1.009018079,76481.13528,0,0,0
1,49,0.5,0.5,0,0,0,0,595.9865156,1.031320278,80252.00733,0,0,0
1,50,0.45,0.55,0,0,0,0,577.5167271,1.02722593,78299.52783,0,0,0
1,51,0.4,0.6,0,0,0,0,603.0114566,1.048623853,79494.87716,0,0,0
1,52,0.27,0.44,0.09,0.04,0.08,0.08,536.4678892,1.338515816,83057.18281,0,0,0
1,53,0.04,0.19,0.36,0.2,0.12,0.09,380.6202059,1.576085245,63939.3838,0,0,0
1,67,0,0.59,0,0.08,0.08,0.25,487.9963832,1.692861459,74452.76925,0,0,0
1,68,0,0.39,0.13,0.07,0.03,0.38,492.2164398,2.035426653,77476.19774,0,0,0
1,69,0.01,0.51,0,0.1,0.02,0.36,483.0457294,1.703618647,74331.86749,0,0,0
1,70,0.01,0.62,0.01,0.03,0.1,0.23,461.0062358,1.5331381,68683.96501,0,0,0
1,71,0.06,0.3,0.41,0.01,0.01,0.21,428.6731928,1.958217767,73565.01491,0,0,0
1,72,0.08,0.32,0.5,0.07,0.02,0.01,420.3458463,1.750133713,70958.03702,0,0,0
1,73,0.15,0.28,0.25,0.01,0.06,0.25,185.7397486,1.999817948,39188.24433,0,0,0
1,75,0,0,0,0,0,1,307.5914229,2.933333525,68673.8814,0,0,0
1,76,0,0,0,0,1,0,248.0791189,0.336878815,41639.48366,0,0,0
2,77,0.02,0.11,0,0.5,0.03,0.34,330.4219884,1.609265152,58954.71959,529.9621,2.5173,93080.4578
2,78,0.01,0.19,0,0,0,0.8,261.1897236,2.535592077,54113.52673,468.2175,3.4177,71636.1514
2,79,0.01,0.39,0,0.02,0.01,0.57,374.390709,2.131313348,72005.09059,626.0288,2.037,62114.1625
2,80,0.18,0.12,0,0.36,0,0.34,442.1931671,1.642594751,73645.03928,531.2292,2.3753,94363.5215
3,81,0.01,0,0.13,0.25,0,0.61,325.5454131,2.257656324,65492.67595,367.2088,1.7821,59082.1104
3,82,0.32,0,0.12,0.01,0,0.55,407.4563224,1.714185598,79298.8675,466.2497,1.9339,65119.3931
3,83,0.01,0.15,0.1,0.21,0,0.53,280.776835,2.089001118,55835.44284,504.6006,1.8332,74827.5906
3,84,0.01,0,0.15,0.25,0,0.59,345.4444744,2.263948194,66935.48499,431.3873,1.862,63174.8981
4,85,0.15,0.45,0.04,0.03,0.01,0.32,337.8765721,1.712348353,65225.45438,579.1882,1.8425,83516.161
4,86,0.05,0.32,0,0.57,0.06,0,380.5098715,0.6146380251,47362.40951,629.7075,2.5501,67898.3554
4,87,0.31,0.52,0,0.08,0.02,0.07,423.788643,1.312130965,68132.91942,722.4119,1.5994,78127.4318
4,88,0.15,0.04,0.13,0.67,0.01,0,412.913683,0.7221388784,59055.93018,451.7637,1.8895,52929.5444
5,89,0,0.21,0.2,0.58,0.01,0,389.7162859,1.297486012,60315.73315,0,0,0
5,90,0,0.01,0.28,0.67,0.01,0.03,243.9298757,1.581629164,43427.19562,0,0,0
5,92,0.01,0.28,0.11,0.46,0.11,0.03,418.8165651,1.121866845,61444.52389,0,0,0
6,93,0.49,0.06,0,0.14,0.02,0.29,463.109402,1.466006303,81856.93457,682.7553,1.7083,91379.6391
6,95,0.14,0,0.07,0.01,0.01,0.77,260.4918852,1.942118281,59060.68705,565.6392,3.4371,59919.9628
6,96,0.03,0.58,0.18,0.04,0.1,0.07,461.1271096,1.56971713,75813.04665,571.6375,1.4028,93170.9962
7,97,0,0.31,0.01,0.02,0.15,0.51,434.9195055,1.972303649,80545.78533,534.2951,2.2274,89881.9832
7,98,0.25,0.01,0.01,0.04,0.13,0.56,411.274128,1.70716909,85333.38741,579.8267,2.85,61983.0706
7,99,0.29,0.45,0.06,0.08,0.12,0,593.8156651,1.075832832,82484.64766,622.5192,1.0988,91870.281
7,100,0.02,0.01,0.16,0.01,0.5,0.3,331.6431402,1.22611547,62332.44755,385.7164,1.2922,83960.5285
8,101,0.02,0.24,0,0.03,0.26,0.45,461.8788001,1.572604224,80820.6379,582.5741,1.81,91404.9324
8,102,0,0.01,0,0.01,0.27,0.71,386.3988113,1.909786928,76223.98325,596.8904,2.303,72078.9333
8,103,0.09,0.02,0,0.06,0.4,0.43,458.6168468,1.386465766,78606.82742,604.4295,1.4163,99137.3893
8,104,0,0.16,0,0,0.25,0.59,386.1545643,1.796902936,73308.39343,568.6965,2.1065,82689.5153
9,105,0.32,0.09,0.02,0.01,0.01,0.55,420.6757019,1.896309428,83069.87596,649.65,1.8365,84439.6124
9,106,0,0.08,0.13,0,0.11,0.68,256.3444337,2.254181351,53258.31992,388.4905,2.0675,65462.1878
9,107,0.39,0.01,0.03,0,0,0.57,343.7863705,1.897519539,72697.88276,571.4654,1.6914,88907.1518
9,108,0.26,0.18,0.02,0.01,0.01,0.52,317.0967855,1.923621212,66141.33099,595.5315,1.9644,83132.9852
10,109,0.2,0.16,0,0,0,0.64,405.5608381,1.938006124,81223.20233,382.3901,2.1225,117205.9647
10,110,0.51,0.31,0.07,0.01,0.01,0.09,579.2707735,1.043737439,87100.51694,552.9846,1.0542,93655.3273
