iterID,A,B,C,D,E,F,ParetoGPApproximation_Stress,ParetoGPApproximation_Modulus,ParetoGPApproximation_Toughness,ParetoFamily
2,0.0008,0.3478,0.0009,0.0004,0.0042,0.6451,614.8814,2.5649,64356.7011,-1
2,0.0048,0.1607,0.0261,0.0017,0.0055,0.7751,453.7221,3.434,72045.7169,-1
2,0.0013,0.2859,0,0.0004,0.0007,0.7117,521.0561,3.0152,69363.4705,-1
2,0.0047,0.3574,0.0282,0,0.0032,0.5784,631.5971,2.2127,63436.9297,-1
2,0.0013,0.2851,0,0.0002,0.0042,0.7092,521.1626,2.9979,69190.1107,-1
2,0.0019,0.1638,0.0044,0.0011,0.0041,0.8203,452.2523,3.4668,70948.744,-1
2,0.0087,0.3627,0.003,0.237,0.0378,0.3477,576.2736,1.7529,84355.9851,-1
2,0.1524,0.3624,0.012,0.0384,0.0306,0.3924,592.2981,1.5342,77922.3194,-1
2,0.0041,0.1506,0.0132,0.4777,0.0137,0.3276,544.7246,2.5422,91704.3114,-1
2,0.0113,0.3463,0.0007,0.288,0.0121,0.3409,570.3968,2.0084,86301.9444,-1
2,0.003,0.2513,0,0.0001,0.0048,0.7408,497.7561,3.2118,70972.8186,-1
2,0.0127,0.3498,0,0.291,0.0113,0.3352,569.9796,2.017,86647.2095,-1
2,0.1221,0.1419,0.0035,0.3814,0.015,0.3327,540.1609,2.4288,93654.8344,-1
2,0.0013,0.3368,0.0009,0.0001,0.0018,0.6582,600.01,2.649,65310.8688,-1
2,0.0078,0.077,0.0487,0.0001,0.0125,0.8052,390.8543,3.517,71748.2839,-1
2,0.0017,0.1847,0,0.001,0.0056,0.8071,461.8154,3.4526,71211.5751,-1
2,0.0014,0.3277,0.0008,0.0006,0.0028,0.6658,586.4078,2.699,65901.5663,-1
2,0.0627,0.3664,0.0294,0.0686,0.0593,0.3843,585.4955,1.6765,76620.2694,-1
2,0.0386,0.3441,0.0013,0.2629,0.0265,0.3254,568.1316,1.8445,87538.3437,-1
2,0.0597,0.117,0.0025,0.4639,0.0142,0.3403,535.2005,2.5293,93271.1075,-1
2,0.0364,0.3631,0.02,0.074,0.1015,0.3849,588.3704,1.6485,77531.5782,-1
2,0.0013,0.331,0.0447,0.0107,0.0043,0.5633,604.7822,2.1799,65203.2067,-1
2,0.2958,0.1147,0.0009,0.2573,0.0101,0.3203,512.64,1.7574,94591.1172,-1
2,0.0041,0.3489,0.0007,0.2901,0.0122,0.3434,571.3521,2.0235,85894.6263,-1
2,0.0176,0.1477,0.0056,0,0.0057,0.8178,447.2031,3.4669,71027.5187,-1
2,0.2091,0.3519,0.0008,0.0199,0.0822,0.3354,579.1349,1.3984,86891.3561,-1
2,0.0012,0.2949,0.0009,0.0001,0.0029,0.6992,533.3556,2.9291,68472.2513,-1
2,0.113,0.0611,0.0018,0.4743,0.0025,0.3454,471.2711,2.5194,93439.5885,-1
2,0.005,0.3523,0.0028,0.2486,0.0314,0.3573,576.6692,1.8087,83948.7222,-1
2,0.1702,0.3541,0.0046,0.0221,0.0252,0.4192,598.7146,1.441,75325.3467,-1
2,0.0014,0.2784,0,0.0016,0.0043,0.7142,514.8515,3.0345,69537.3979,-1
2,0.0005,0.2562,0.0001,0.0005,0.0065,0.7361,500.0351,3.1827,70778.3489,-1
2,0.2864,0.3489,0.0031,0.0014,0.049,0.3082,573.0638,1.3136,88285.254,-1
2,0.012,0.3679,0.0203,0.075,0.0843,0.4203,597.3017,1.637,72822.9771,-1
2,0.0058,0.3232,0.0731,0.0057,0.0215,0.4976,575.9334,1.8813,69364.1903,-1
2,0.0405,0.3173,0,0.3021,0.0129,0.3272,556.5619,2.0633,88974.7263,-1
2,0.0014,0.3551,0.0479,0.0184,0.0046,0.5246,618.2776,1.9388,66176.5921,-1
2,0.1314,0.3452,0.0299,0.0732,0.0029,0.3874,583.7546,1.6691,77829.5487,-1
2,0.0028,0.2891,0,0.0001,0.0044,0.7036,526.2007,2.9584,68794.0351,-1
2,0.0251,0.3457,0.0003,0.2985,0.0034,0.3267,567.2454,2.0417,87457.7241,-1
2,0.091,0.3612,0.0012,0.0093,0.0822,0.4538,609.8359,1.4142,70700.521,-1
2,0.0156,0.3515,0.0399,0.0724,0.0808,0.4,586.2274,1.7042,74633.8863,-1
2,0.0014,0.339,0,0.0009,0.0038,0.6549,603.3605,2.625,65055.0182,-1
2,0.2315,0.0691,0.0031,0.3415,0.008,0.3437,470.8766,2.2722,94296.6303,-1
2,0.0574,0.146,0.0048,0.4462,0.0137,0.3273,544.1238,2.5184,92959.591,-1
2,0.0672,0.3216,0.0015,0.2726,0.0035,0.3321,560.0557,1.9056,88527.3073,-1
2,0.0023,0.3029,0,0,0.0042,0.6906,545.1066,2.8656,67808.4382,-1
2,0.0012,0.3092,0,0.0007,0.0006,0.6883,553.7975,2.8492,67615.6469,-1
2,0.0014,0.3559,0.0141,0.0001,0.0007,0.6138,628.9906,2.4129,63096.1712,-1
2,0.0775,0.1396,0.0049,0.4367,0.0106,0.3257,541.8052,2.5069,93113.1053,-1
2,0.0199,0.3201,0.0027,0.3498,0.0037,0.3011,552.5768,2.2489,88622.4653,-1
2,0.0023,0.0842,0.0611,0,0.0036,0.7877,398.7194,3.5103,71667.2317,-1
2,0.0662,0.349,0.0388,0.0167,0.0072,0.4835,608.097,1.6857,67866.8183,-1
2,0.0026,0.1404,0.009,0.0003,0.0055,0.8333,440.0746,3.4698,70597.8112,-1
2,0.137,0.3419,0.024,0.0608,0.035,0.3772,581.5466,1.6318,79908.7076,-1
2,0.0018,0.1891,0.0168,0.0043,0.0055,0.7658,465.5496,3.3809,71834.0006,-1
2,0.0038,0.243,0,0.0001,0.0042,0.7489,494.1245,3.2598,71242.3635,-1
2,0.0647,0.3375,0.0026,0.2624,0.0106,0.3197,564.9843,1.8254,88132.9713,-1
2,0.0057,0.3616,0.0133,0.0403,0.0072,0.5586,633.435,2.0488,63231.9824,-1
2,0.0855,0.3496,0.0141,0.105,0.0454,0.3862,587.0478,1.6176,79211.1314,-1
2,0.0515,0.3671,0.0025,0.1068,0.1369,0.3329,578.0635,1.6211,85391.7552,-1
2,0.0057,0.1389,0.0229,0.0073,0.0087,0.7936,443.8473,3.4679,71909.2691,-1
2,0.0023,0.2308,0,0.0001,0.0036,0.7632,488.1332,3.3331,71531.5474,-1
2,0.0018,0.3117,0,0,0.0039,0.6826,558.978,2.8094,67185.1569,-1
2,0.0395,0.313,0,0.3164,0.0126,0.3187,552.8573,2.1244,89432.6865,-1
2,0.1806,0.0847,0.0017,0.3728,0.0125,0.346,496.8481,2.4039,94069.7519,-1
2,0.1685,0.3681,0,0.0001,0.0443,0.419,600.6542,1.3328,74855.6731,-1
2,0.0019,0.2101,0.0086,0.0055,0.0043,0.761,477.7407,3.3419,71630.3695,-1
2,0.0105,0.3474,0.0488,0.0014,0.0071,0.5361,616.2391,1.9808,65975.7376,-1
2,0.1107,0.0935,0.0015,0.4104,0.0404,0.342,510.2796,2.4817,93680.8704,-1
2,0.0127,0.148,0.0033,0.4644,0.0045,0.3639,548.2099,2.5149,91328.6883,-1
2,0.1769,0.1032,0.0018,0.3651,0.0122,0.3389,515.6228,2.3768,94218.462,-1
2,0.0014,0.2758,0,0.0004,0.0007,0.7218,511.237,3.0862,70026.9414,-1
2,0.0011,0.3455,0,0.0012,0.0027,0.6495,611.3922,2.5903,64644.0829,-1
2,0.0079,0.0776,0.0491,0.0001,0.0043,0.8119,390.1018,3.5208,71584.6725,-1
2,0.1619,0.3535,0,0.0342,0.0425,0.4079,595.2756,1.4683,77276.9987,-1
2,0.0013,0.3584,0,0.0008,0.0044,0.6351,624.0645,2.4981,63650.3492,-1
2,0.1212,0.3588,0.0017,0.023,0.028,0.4657,612.0961,1.487,69703.9448,-1
2,0.1494,0.3728,0.0056,0.0271,0.0308,0.4088,596.3281,1.4702,75581.3258,-1
2,0.1957,0.3572,0.0082,0.0365,0.0125,0.3818,589.6055,1.5108,80272.4873,-1
2,0.0782,0.3649,0.0032,0.0283,0.1521,0.37,587.897,1.4525,81306.6271,-1
2,0.0025,0.3248,0,0.3355,0,0.3371,560.6572,2.2696,87833.2815,-1
2,0.0066,0.1489,0.0033,0.4671,0.0047,0.3661,548.4119,2.5115,91070.3986,-1
