iterID,A,B,C,D,E,F,Pareto_Stress,Pareto_Modulus,Pareto_Toughness
12,0,0.31,0.01,0.02,0.15,0.51,434.9195,1.9723,80545.7853
12,0.25,0.01,0.01,0.04,0.13,0.56,411.2741,1.7072,85333.3874
12,0.02,0.24,0,0.03,0.26,0.45,461.8788,1.5726,80820.6379
12,0.32,0.09,0.02,0.01,0.01,0.55,420.6757,1.8963,83069.876
12,0.2,0.16,0,0,0,0.64,405.5608,1.938,81223.2023
12,0.51,0.25,0.1,0.02,0.12,0,625.1337,1.1253,94708.7918
12,0.51,0.01,0.07,0.02,0.11,0.28,559.4404,1.5604,98460.5528
12,0,0,0,0.02,0,0.98,350.2734,2.6724,74202.1381
13,0.19,0.3,0.1,0.06,0.07,0.28,469.5247,1.7578,77876.9026
13,0,0.39,0.13,0.07,0.03,0.38,492.2164,2.0354,77476.1977
13,0,0,0,0,0,1,307.5914,2.9333,68673.8814
13,0.01,0.39,0,0.02,0.01,0.57,374.3907,2.1313,72005.0906
13,0,0.31,0.01,0.02,0.15,0.51,434.9195,1.9723,80545.7853
13,0.25,0.01,0.01,0.04,0.13,0.56,411.2741,1.7072,85333.3874
13,0.32,0.09,0.02,0.01,0.01,0.55,420.6757,1.8963,83069.876
13,0.2,0.16,0,0,0,0.64,405.5608,1.938,81223.2023
13,0.51,0.25,0.1,0.02,0.12,0,625.1337,1.1253,94708.7918
13,0.51,0.01,0.07,0.02,0.11,0.28,559.4404,1.5604,98460.5528
13,0,0,0,0.02,0,0.98,350.2734,2.6724,74202.1381
13,0.6,0,0.03,0,0.02,0.35,483.8073,1.577,91455.1658
14,0.19,0.3,0.1,0.06,0.07,0.28,469.5247,1.7578,77876.9026
14,0,0.39,0.13,0.07,0.03,0.38,492.2164,2.0354,77476.1977
14,0,0,0,0,0,1,307.5914,2.9333,68673.8814
14,0.01,0.39,0,0.02,0.01,0.57,374.3907,2.1313,72005.0906
14,0,0.31,0.01,0.02,0.15,0.51,434.9195,1.9723,80545.7853
14,0.25,0.01,0.01,0.04,0.13,0.56,411.2741,1.7072,85333.3874
14,0.32,0.09,0.02,0.01,0.01,0.55,420.6757,1.8963,83069.876
14,0.2,0.16,0,0,0,0.64,405.5608,1.938,81223.2023
14,0.51,0.25,0.1,0.02,0.12,0,625.1337,1.1253,94708.7918
14,0.51,0.01,0.07,0.02,0.11,0.28,559.4404,1.5604,98460.5528
14,0,0,0,0.02,0,0.98,350.2734,2.6724,74202.1381
14,0.6,0,0.03,0,0.02,0.35,483.8073,1.577,91455.1658
14,0.37,0.47,0.1,0,0.06,0,619.827,1.3159,92324.89
15,0.19,0.3,0.1,0.06,0.07,0.28,469.5247,1.7578,77876.9026
15,0,0.39,0.13,0.07,0.03,0.38,492.2164,2.0354,77476.1977
15,0,0,0,0,0,1,307.5914,2.9333,68673.8814
15,0.01,0.39,0,0.02,0.01,0.57,374.3907,2.1313,72005.0906
15,0,0.31,0.01,0.02,0.15,0.51,434.9195,1.9723,80545.7853
15,0.25,0.01,0.01,0.04,0.13,0.56,411.2741,1.7072,85333.3874
15,0.32,0.09,0.02,0.01,0.01,0.55,420.6757,1.8963,83069.876
15,0.2,0.16,0,0,0,0.64,405.5608,1.938,81223.2023
15,0.51,0.25,0.1,0.02,0.12,0,625.1337,1.1253,94708.7918
